frame_id,timestamp,yaw,pitch,roll
47,2025-11-01 15:41:48.077900,"[66.2, 68.2, 65.9, 69.3, 63.9, 59.0, 66.8, 56.1, 59.2, 69.7, 62.6]","[42.5, 42.1, 42.5, 42.1, 42.5, 42.2, 42.4, 42.8, 42.4, 42.5, 42.3]","[-46.6, -44.6, -46.9, -43.5, -48.9, -53.8, -46.0, -56.7, -53.6, -43.1, -50.3]"
48,2025-11-01 15:41:48.330319,"[66.7, 61.1, 68.1, 61.2, 68.2, 59.3, 69.4, 59.6, 66.4, 74.5, 64.7]","[42.6, 42.3, 42.5, 42.3, 42.5, 42.4, 42.5, 42.8, 42.4, 42.7, 42.5]","[-46.2, -51.7, -44.7, -51.7, -44.6, -53.5, -43.4, -53.3, -46.4, -38.3, -48.2]"
49,2025-11-01 15:41:48.583529,"[74.3, 63.8, 66.6, 63.0, 74.7, 76.0, 69.4, 61.5, 57.8, 71.8, 64.9]","[42.7, 42.5, 42.9, 42.5, 42.6, 42.2, 42.5, 42.3, 42.7, 42.6, 42.3]","[-38.5, -49.1, -46.3, -49.9, -38.1, -36.8, -43.5, -51.3, -55.0, -41.0, -48.0]"
50,2025-11-01 15:41:48.841902,"[65.4, 63.9, 67.4, 62.3, 66.2, 78.7, 67.8, 63.3, 71.5, 68.6, 74.2]","[42.7, 42.4, 42.7, 42.4, 42.7, 42.5, 42.4, 42.8, 42.5, 42.1, 42.4]","[-47.4, -48.9, -45.4, -50.5, -46.7, -34.1, -45.0, -49.6, -41.4, -44.2, -38.6]"
51,2025-11-01 15:41:49.096083,"[64.9, 70.4, 64.0, 77.9, 67.5, 53.9, 67.6, 60.1, 66.5, 63.8, 66.6]","[42.8, 42.4, 42.7, 42.6, 42.5, 42.6, 42.6, 42.3, 42.6, 42.3, 42.6]","[-47.9, -42.5, -48.8, -34.9, -45.3, -58.9, -45.2, -52.7, -46.3, -49.0, -46.2]"
52,2025-11-01 15:41:49.344116,"[78.8, 67.3, 78.9, 67.1, 67.5, 69.0, 59.7, 68.0, 67.1, 60.0, 63.8]","[42.6, 42.6, 42.4, 42.6, 42.2, 42.6, 42.4, 42.1, 42.5, 42.3, 42.6]","[-34.0, -45.5, -33.9, -45.7, -45.3, -43.8, -53.1, -44.8, -45.7, -52.8, -49.0]"
53,2025-11-01 15:41:49.596996,"[68.6, 65.5, 77.8, 64.6, 70.8, 70.3, 62.6, 74.3, 62.7, 75.6]","[42.2, 42.6, 42.6, 42.7, 42.3, 42.7, 42.4, 42.4, 42.6, 42.6]","[-44.2, -47.3, -35.0, -48.2, -42.0, -42.5, -50.2, -38.4, -50.1, -37.2]"
54,2025-11-01 15:41:49.827228,"[64.0, 74.1, 68.9, 65.8, 60.4, 63.5, 77.4, 68.4, 79.2, 72.5, 65.9]","[42.5, 42.7, 42.4, 42.8, 42.5, 42.8, 42.6, 42.4, 42.2, 42.6, 42.4]","[-48.8, -38.7, -43.9, -47.0, -52.4, -49.3, -35.4, -44.4, -33.6, -40.3, -46.9]"
55,2025-11-01 15:41:50.089181,"[69.6, 63.0, 74.8, 62.7, 71.8, 62.3, 60.0, 65.0, 74.6, 66.5, 76.2]","[42.7, 42.4, 42.3, 42.5, 42.7, 42.5, 42.2, 42.5, 42.2, 42.5, 42.2]","[-43.1, -49.8, -38.0, -50.1, -41.0, -50.5, -52.8, -47.8, -38.2, -46.3, -36.6]"
56,2025-11-01 15:41:50.331572,"[71.1, 64.9, 74.7, 62.8, 70.5, 62.8, 74.6, 68.4, 60.5, 73.0, 63.0]","[42.6, 42.4, 42.5, 42.5, 42.7, 42.5, 42.5, 42.3, 42.6, 42.7, 42.5]","[-41.7, -47.9, -38.1, -50.0, -42.3, -50.0, -38.2, -44.4, -52.3, -39.8, -49.8]"
57,2025-11-01 15:41:50.584680,"[70.6, 67.0, 73.9, 59.5, 73.6, 66.9, 76.5, 72.1, 57.8, 71.6, 64.4]","[42.7, 43.1, 42.7, 42.8, 42.8, 42.5, 42.2, 42.6, 42.8, 42.6, 42.4]","[-42.2, -45.8, -38.9, -53.3, -39.2, -45.9, -36.3, -40.6, -55.0, -41.2, -48.4]"
